Id,Name,LiquidPerGalPerAnimalPerDay,SolidPerGalPerAnimalPerDay,SolidPerPoundPerAnimalPerDay,SolidLiquidSeparationPercentage,WashWater,MilkProduction,AnimalId,SortOrder,StaticDataVersionId
1,"Cow, including calf to weaning",10.568,8.983,60.046,0,0,0,1,0,1
2,Yearlings,5.284,4.491,32.425,0,0,0,1,0,1
3,Heavy Feeders,8.19,6.077,43.869,0,0,0,1,0,1
4,Calves (0 to 3 months old),1.849,2.906,15.541,10,0,0,2,6,1
5,Calves (3 to 6 months old),3.699,5.812,31.082,10,0,0,2,5,1
6,Heifers (6 to 15 months old),7.398,11.625,71.49,10,0,0,2,4,1
7,Heifers (15 to 26 months old),12.946,20.079,123.482,10,0,0,2,3,1
8,Dry Cow,18.494,28.534,205.992,10,0,0,2,2,1
10,Ducks,0,0.04,0.141,0,0,0,3,0,1
11,Goats,0,0.687,4.592,0,0,0,4,0,1
12,Horse,0,14.954,78.002,0,0,0,5,0,1
13,Pullets - Cage Housing,0,0.01,0.072,0,0,0,6,0,1
14,Pullets - Floor Housing,0,0.016,0.054,0,0,0,6,0,1
15,Layer,0,0.034,0.143,0,0,0,6,0,1
16,Broiler Breeder Layer- Cage Housing,0,0.037,0.147,0,0,0,6,0,1
17,Broiler Breeder Layer- Floor Housing,0,0.048,0.188,0,0,0,6,0,1
18,Broiler Breeder Pullets,0,0.02,0.071,0,0,0,6,0,1
19,Broiler Chicken,0,0.025,0.098,0,0,0,6,0,1
20,Roaster Chicken,0,0.024,0.092,0,0,0,6,0,1
21,Turkey Broiler,0,0.077,0.25,0,0,0,6,0,1
22,Turkey Heavy Hen,0,0.108,0.354,0,0,0,6,0,1
23,Turkey Heavy Tom,0,0.124,0.406,0,0,0,6,0,1
24,Doe and Litter,0,0.188,1.003,0,0,0,7,0,1
25, Ewe or Ram,1.797,1.11,6.676,0,0,0,8,0,1
26,"Dry Sow, Boar, or Gilts",4.174,3.593,19.215,0,0,0,9,0,1
27,Nursing Sow and Litter,6.209,0,0,0,0,0,9,0,1
28,Nursery,0.661,0,0,0,0,0,9,0,1
29,Grower,1.664,0,0,0,0,0,9,0,1
30,Finisher,3.17,0,0,0,0,0,9,0,1
31,Grower Finisher,2.668,0,0,0,0,0,9,0,1
32,Veal ,0,1.48,8.901,0,0,0,10,0,1
26,"Dry Sow, Boar, or Gilts",4.174,3.593,19.215,0,0,0,9,0,2
12,Horse,0,14.954,78.002,0,0,0,5,0,2
2,Yearlings,5.284,4.491,32.425,0,0,0,1,0,2
1,"Cow, including calf to weaning",10.568,8.983,60.046,0,0,0,1,0,2
10,Ducks,0,0.04,0.141,0,0,0,3,0,2
11,Goats,0,0.687,4.592,0,0,0,4,0,2
9,Milking Cow,19.815,30.647,221.251,10,7.5,72.3,2,1,2
8,Dry Cow,18.494,28.534,205.992,10,0,0,2,2,2
7,Heifers (15 to 26 months old),12.946,20.079,123.482,10,0,0,2,3,2
6,Heifers (6 to 15 months old),7.398,11.625,71.49,10,0,0,2,4,2
5,Calves (3 to 6 months old),3.699,5.812,31.082,10,0,0,2,5,2
4,Calves (0 to 3 months old),1.849,2.906,15.541,10,0,0,2,6,2
24,Doe and Litter,0,0.188,1.003,0,0,0,7,0,2
32,Veal ,0,1.48,8.901,0,0,0,10,0,2
25, Ewe or Ram,1.797,1.11,6.676,0,0,0,8,0,2
23,Turkey Heavy Tom,0,0.124,0.406,0,0,0,6,0,2
3,Heavy Feeders,8.19,6.077,43.869,0,0,0,1,0,2
21,Turkey Broiler,0,0.077,0.25,0,0,0,6,0,2
27,Nursing Sow and Litter,6.209,0,0,0,0,0,9,0,2
28,Nursery,0.661,0,0,0,0,0,9,0,2
29,Grower,1.664,0,0,0,0,0,9,0,2
30,Finisher,3.17,0,0,0,0,0,9,0,2
31,Grower Finisher,2.668,0,0,0,0,0,9,0,2
13,Pullets - Cage Housing,0,0.01,0.072,0,0,0,6,0,2
22,Turkey Heavy Hen,0,0.108,0.354,0,0,0,6,0,2
15,Layer,0,0.034,0.143,0,0,0,6,0,2
16,Broiler Breeder Layer- Cage Housing,0,0.037,0.147,0,0,0,6,0,2
17,Broiler Breeder Layer- Floor Housing,0,0.048,0.188,0,0,0,6,0,2
18,Broiler Breeder Pullets,0,0.02,0.071,0,0,0,6,0,2
20,Roaster Chicken,0,0.024,0.092,0,0,0,6,0,2
14,Pullets - Floor Housing,0,0.016,0.054,0,0,0,6,0,2
19,Broiler Chicken (6.5 cycles),0,0.0172,0.0663,0,0,0,6,0,2
12,Horse,0,14.954,78.002,0,0,0,5,0,3
22,Turkey Heavy Hen,0,0.108,0.354,0,0,0,6,0,3
15,Layer,0,0.034,0.143,0,0,0,6,0,3
16,Broiler Breeder Layer- Cage Housing,0,0.037,0.147,0,0,0,6,0,3
17,Broiler Breeder Layer- Floor Housing,0,0.048,0.188,0,0,0,6,0,3
18,Broiler Breeder Pullets,0,0.02,0.071,0,0,0,6,0,3
20,Roaster Chicken,0,0.024,0.092,0,0,0,6,0,3
13,Pullets - Cage Housing,0,0.01,0.072,0,0,0,6,0,3
14,Pullets - Floor Housing,0,0.016,0.054,0,0,0,6,0,3
26,"Dry Sow, Boar, or Gilts",4.174,3.593,19.215,0,0,0,9,0,3
27,Nursing Sow and Litter,6.209,0,0,0,0,0,9,0,3
28,Nursery,0.661,0,0,0,0,0,9,0,3
29,Grower,1.664,0,0,0,0,0,9,0,3
30,Finisher,3.17,0,0,0,0,0,9,0,3
24,Doe and Litter,0,0.188,1.003,0,0,0,7,0,3
19,Broiler Chicken (6.5 cycles),0,0.0172,0.0663,0,0,0,6,0,3
21,Turkey Broiler,0,0.077,0.25,0,0,0,6,0,3
31,Grower Finisher,2.668,0,0,0,0,0,9,0,3
25, Ewe or Ram,1.797,1.11,6.676,0,0,0,8,0,3
2,Yearlings,5.284,4.491,32.425,0,0,0,1,0,3
1,"Cow, including calf to weaning",10.568,8.983,60.046,0,0,0,1,0,3
3,Heavy Feeders,8.19,6.077,43.869,0,0,0,1,0,3
10,Ducks,0,0.04,0.141,0,0,0,3,0,3
23,Turkey Heavy Tom,0,0.124,0.406,0,0,0,6,0,3
8,Dry Cow,18.494,28.534,205.992,10,0,0,2,2,3
7,Heifers (15 to 26 months old),12.946,20.079,123.482,10,0,0,2,3,3
9,Milking Cow,19.815,30.647,221.251,10,7.5,72.3,2,1,3
5,Calves (3 to 6 months old),3.699,5.812,31.082,10,0,0,2,5,3
4,Calves (0 to 3 months old),1.849,2.906,15.541,10,0,0,2,6,3
11,Goats,0,0.687,4.592,0,0,0,4,0,3
32,Veal ,0,1.48,8.901,0,0,0,10,0,3
6,Heifers (6 to 15 months old),7.398,11.625,71.49,10,0,0,2,4,3
24,Doe and Litter,0,0.188,1.003,0,0,0,7,0,4
11,Goats,0,0.687,4.592,0,0,0,4,0,4
10,Ducks,0,0.04,0.141,0,0,0,3,0,4
6,Heifers (6 to 15 months old),7.398,11.625,71.49,10,0,0,2,4,4
4,Calves (0 to 3 months old),1.849,2.906,15.541,10,0,0,2,6,4
5,Calves (3 to 6 months old),3.699,5.812,31.082,10,0,0,2,5,4
9,Milking Cow,19.815,30.647,221.251,10,7.5,72.3,2,1,4
7,Heifers (15 to 26 months old),12.946,20.079,123.482,10,0,0,2,3,4
8,Dry Cow,18.494,28.534,205.992,10,0,0,2,2,4
25, Ewe or Ram,1.797,1.11,6.676,0,0,0,8,0,4
32,Veal ,0,1.48,8.901,0,0,0,10,0,4
23,Turkey Heavy Tom,0,0.124,0.406,0,0,0,6,0,4
21,Turkey Broiler,0,0.077,0.25,0,0,0,6,0,4
12,Horse,0,14.954,78.002,0,0,0,5,0,4
14,Pullets - Floor Housing,0,0.016,0.054,0,0,0,6,0,4
26,"Dry Sow, Boar, or Gilts",4.174,3.593,19.215,0,0,0,9,0,4
27,Nursing Sow and Litter,6.209,0,0,0,0,0,9,0,4
28,Nursery,0.661,0,0,0,0,0,9,0,4
29,Grower,1.664,0,0,0,0,0,9,0,4
30,Finisher,3.17,0,0,0,0,0,9,0,4
31,Grower Finisher,2.668,0,0,0,0,0,9,0,4
19,Broiler Chicken (6.5 cycles),0,0.0172,0.0663,0,0,0,6,0,4
15,Layer,0,0.034,0.143,0,0,0,6,0,4
16,Broiler Breeder Layer- Cage Housing,0,0.037,0.147,0,0,0,6,0,4
17,Broiler Breeder Layer- Floor Housing,0,0.048,0.188,0,0,0,6,0,4
18,Broiler Breeder Pullets,0,0.02,0.071,0,0,0,6,0,4
20,Roaster Chicken,0,0.024,0.092,0,0,0,6,0,4
13,Pullets - Cage Housing,0,0.01,0.072,0,0,0,6,0,4
22,Turkey Heavy Hen,0,0.108,0.354,0,0,0,6,0,4
3,"Backgrounding to Feedlot (400-850 lb), 225 days on feed",0,2.44,17.64,0,0,0,1,0,4
1,"Cows (1300 lb), including Calves (winter feeding period), 210 days on feed",0,5.17,34.53,0,0,0,1,0,4
2,"Backgrounding to Grass (400-600 lb), 200 days on feed",0,1.84,13.31,0,0,0,1,0,4
33,"Finishing: Yearling, 165 days on feed",0,3.38,22.6,0,0,0,1,0,4
34,"Finishing: Feeders, 240 days on feed",0,3.74,26.98,0,0,0,1,0,4
35,"Finishing: Short Keep, 150 days on feed",0,3.07,22.19,0,0,0,1,0,4
11,Goats,0,0.687,4.592,0,0,0,4,0,5
14,Pullets - Floor Housing,0,0.016,0.054,0,0,0,6,0,5
19,Broiler Chicken (6.5 cycles),0,0.0172,0.0663,0,0,0,6,0,5
15,Layer,0,0.034,0.143,0,0,0,6,0,5
16,Broiler Breeder Layer- Cage Housing,0,0.037,0.147,0,0,0,6,0,5
17,Broiler Breeder Layer- Floor Housing,0,0.048,0.188,0,0,0,6,0,5
18,Broiler Breeder Pullets,0,0.02,0.071,0,0,0,6,0,5
20,Roaster Chicken,0,0.024,0.092,0,0,0,6,0,5
21,Turkey Broiler,0,0.077,0.25,0,0,0,6,0,5
13,Pullets - Cage Housing,0,0.01,0.072,0,0,0,6,0,5
26,"Dry Sow, Boar, or Gilts",4.174,3.593,19.215,0,0,0,9,0,5
27,Nursing Sow and Litter,6.209,0,0,0,0,0,9,0,5
28,Nursery,0.661,0,0,0,0,0,9,0,5
29,Grower,1.664,0,0,0,0,0,9,0,5
31,Grower Finisher,2.668,0,0,0,0,0,9,0,5
24,Doe and Litter,0,0.188,1.003,0,0,0,7,0,5
25, Ewe or Ram,1.797,1.11,6.676,0,0,0,8,0,5
22,Turkey Heavy Hen,0,0.108,0.354,0,0,0,6,0,5
23,Turkey Heavy Tom,0,0.124,0.406,0,0,0,6,0,5
30,Finisher,3.17,0,0,0,0,0,9,0,5
10,Ducks,0,0.04,0.141,0,0,0,3,0,5
32,Veal ,0,1.48,8.901,0,0,0,10,0,5
12,Horse,0,14.954,78.002,0,0,0,5,0,5
1,"Cows (1300 lb), including Calves (winter feeding period), 210 days on feed",0,5.17,34.53,0,0,0,1,0,5
2,"Backgrounding to Grass (400-600 lb), 200 days on feed",0,1.84,13.31,0,0,0,1,0,5
33,"Finishing: Yearling, 165 days on feed",0,3.38,22.6,0,0,0,1,0,5
34,"Finishing: Feeders, 240 days on feed",0,3.74,26.98,0,0,0,1,0,5
35,"Finishing: Short Keep, 150 days on feed",0,3.07,22.19,0,0,0,1,0,5
6,Heifers (6 to 15 months old),7.398,11.625,71.49,10,0,0,2,4,5
3,"Backgrounding to Feedlot (400-850 lb), 225 days on feed",0,2.44,17.64,0,0,0,1,0,5
5,Calves (3 to 6 months old),3.699,5.812,31.082,10,0,0,2,5,5
7,Heifers (15 to 26 months old),12.946,20.079,123.482,10,0,0,2,3,5
4,Calves (0 to 3 months old),1.849,2.906,15.541,10,0,0,2,6,5
9,Milking Cow,19.815,30.647,221.251,10,5,72.3,2,1,5
9,Milking Cow,19.815,30.647,221.251,10,7.5,72.3,2,1,1
8,Dry Cow,18.494,28.534,205.992,10,0,0,2,2,5
25, Ewe or Ram,1.797,1.11,6.676,0,0,0,8,0,6
6,Heifers (6 to 15 months old),7.398,11.625,71.49,10,0,0,2,4,6
5,Calves (3 to 6 months old),3.699,5.812,31.082,10,0,0,2,5,6
7,Heifers (15 to 26 months old),12.946,20.079,123.482,10,0,0,2,3,6
4,Calves (0 to 3 months old),1.849,2.906,15.541,10,0,0,2,6,6
9,Milking Cow,19.815,30.647,221.251,10,5,72.3,2,1,6
8,Dry Cow,18.494,28.534,205.992,10,0,0,2,2,6
23,Turkey Heavy Tom,0,0.124,0.406,0,0,0,6,0,6
29,Grower,1.664,0,0,0,0,0,9,0,8
1,"Cows (1300 lb), including Calves (winter feeding period), 210 days on feed",0,5.17,34.53,0,0,0,1,0,6
33,"Finishing: Yearling, 165 days on feed",0,3.38,22.6,0,0,0,1,0,6
34,"Finishing: Feeders, 240 days on feed",0,3.74,26.98,0,0,0,1,0,6
3,"Backgrounding to Feedlot (400-850 lb), 225 days on feed",0,2.44,17.64,0,0,0,1,0,6
12,Horse,0,14.954,78.002,0,0,0,5,0,6
11,Goats,0,0.687,4.592,0,0,0,4,0,6
10,Ducks,0,0.04,0.141,0,0,0,3,0,6
2,"Backgrounding to Grass (400-600 lb), 200 days on feed",0,1.84,13.31,0,0,0,1,0,6
22,Turkey Heavy Hen,0,0.108,0.354,0,0,0,6,0,6
35,"Finishing: Short Keep, 150 days on feed",0,3.07,22.19,0,0,0,1,0,6
21,Turkey Broiler,0,0.077,0.25,0,0,0,6,0,6
13,Pullets - Cage Housing,0,0.01,0.072,0,0,0,6,0,6
24,Doe and Litter,0,0.188,1.003,0,0,0,7,0,6
26,"Dry Sow, Boar, or Gilts",4.174,3.593,19.215,0,0,0,9,0,6
27,Nursing Sow and Litter,6.209,0,0,0,0,0,9,0,6
29,Grower,1.664,0,0,0,0,0,9,0,6
31,Grower Finisher,2.668,0,0,0,0,0,9,0,6
30,Finisher,3.17,0,0,0,0,0,9,0,6
32,Veal ,0,1.48,8.901,0,0,0,10,0,6
28,Nursery,0.661,0,0,0,0,0,9,0,6
14,Pullets - Floor Housing,0,0.016,0.054,0,0,0,6,0,6
19,Broiler Chicken (6.5 cycles),0,0.0172,0.0663,0,0,0,6,0,6
15,Layer,0,0.034,0.143,0,0,0,6,0,6
20,Roaster Chicken,0,0.024,0.092,0,0,0,6,0,6
16,Broiler Breeder Layer- Cage Housing,0,0.037,0.147,0,0,0,6,0,6
17,Broiler Breeder Layer- Floor Housing,0,0.048,0.188,0,0,0,6,0,6
18,Broiler Breeder Pullets,0,0.02,0.071,0,0,0,6,0,6
11,Goats,0,0.687,4.592,0,0,0,4,0,7
19,Broiler Chicken (6.5 cycles),0.259,0.0172,0.0663,0,0,0,6,0,7
15,Layer,0.24,0.034,0.143,0,0,0,6,0,7
16,Broiler Breeder Layer- Cage Housing,0.252,0.037,0.147,0,0,0,6,0,7
17,Broiler Breeder Layer- Floor Housing,0.252,0.048,0.188,0,0,0,6,0,7
18,Broiler Breeder Pullets,0.288,0.02,0.071,0,0,0,6,0,7
20,Roaster Chicken,0.259,0.024,0.092,0,0,0,6,0,7
13,Pullets - Cage Housing,0.144,0.01,0.072,0,0,0,6,0,7
22,Turkey Heavy Hen,0.306,0.108,0.354,0,0,0,6,0,7
26,"Dry Sow, Boar, or Gilts",4.174,3.593,19.215,0,0,0,9,0,7
27,Nursing Sow and Litter,6.209,0,0,0,0,0,9,0,7
28,Nursery,0.661,0,0,0,0,0,9,0,7
29,Grower,1.664,0,0,0,0,0,9,0,7
30,Finisher,3.17,0,0,0,0,0,9,0,7
24,Doe and Litter,0,0.188,1.003,0,0,0,7,0,7
25, Ewe or Ram,0,1.11,6.676,0,0,0,8,0,7
14,Pullets - Floor Housing,0.288,0.016,0.054,0,0,0,6,0,7
21,Turkey Broiler,0.306,0.077,0.25,0,0,0,6,0,7
31,Grower Finisher,2.668,0,0,0,0,0,9,0,7
10,Ducks,0,0.04,0.141,0,0,0,6,0,7
23,Turkey Heavy Tom,0.306,0.124,0.406,0,0,0,6,0,7
12,Horse,0,14.954,78.002,0,0,0,5,0,7
