CropId,SoilTestPotassiumRegionCode,PotassiumCropGroupRegionCode,StaticDataVersionId
54,3,5,1
1,2,4,1
1,1,4,1
67,2,2,1
9,2,3,1
64,3,5,1
9,3,2,1
55,1,5,1
55,2,5,1
55,3,5,1
11,3,6,1
64,2,5,1
11,2,6,1
67,3,2,1
54,2,5,1
68,1,2,1
12,1,6,1
52,1,4,1
67,1,2,1
65,3,5,1
52,2,4,1
52,3,4,1
70,3,2,1
65,2,5,1
70,2,2,1
65,1,5,1
53,1,5,1
53,2,5,1
53,3,5,1
70,1,2,1
9,1,3,1
12,3,6,1
11,1,6,1
12,2,6,1
54,1,5,1
56,1,5,1
69,3,2,1
1,3,3,1
59,3,5,1
5,2,3,1
62,3,4,1
62,2,4,1
62,1,4,1
6,3,2,1
6,2,3,1
60,1,5,1
59,2,5,1
60,2,5,1
68,3,2,1
68,2,2,1
6,1,3,1
5,3,2,1
61,1,5,1
61,2,5,1
61,3,5,1
72,1,4,1
60,3,5,1
64,1,5,1
59,1,5,1
13,1,6,1
56,2,5,1
56,3,5,1
69,2,2,1
72,3,3,1
72,2,4,1
63,3,5,1
57,1,5,1
63,2,5,1
5,1,3,1
57,2,5,1
69,1,2,1
10,3,6,1
10,2,6,1
63,1,5,1
58,1,5,1
58,2,5,1
58,3,5,1
10,1,6,1
57,3,5,1
13,2,6,1
48,2,5,1
22,1,2,1
32,2,5,1
32,3,5,1
33,1,5,1
33,2,5,1
33,3,5,1
4,3,4,1
4,2,4,1
23,3,2,1
23,2,2,1
34,1,5,1
34,2,5,1
34,3,5,1
4,1,4,1
23,1,2,1
35,1,5,1
35,2,5,1
35,3,5,1
22,3,2,1
22,2,2,1
36,1,5,1
36,2,5,1
32,1,5,1
24,1,2,1
24,2,2,1
24,3,2,1
26,1,5,1
27,1,5,1
27,2,5,1
27,3,5,1
3,1,4,1
28,1,4,1
28,2,4,1
28,3,4,1
7,3,2,1
7,2,3,1
36,3,5,1
25,3,2,1
25,1,2,1
30,1,5,1
30,2,5,1
30,3,5,1
7,1,3,1
3,2,4,1
31,1,5,1
31,2,5,1
31,3,5,1
3,3,3,1
25,2,2,1
37,1,5,1
26,2,5,1
43,1,5,1
48,1,5,1
8,3,2,1
15,3,6,1
14,1,6,1
14,2,6,1
14,3,6,1
15,2,6,1
37,2,5,1
43,2,5,1
43,3,5,1
71,1,3,1
46,3,4,1
15,1,6,1
45,1,4,1
45,2,4,1
45,3,4,1
71,3,2,1
71,2,3,1
46,2,4,1
26,3,5,1
46,1,4,1
8,2,3,1
40,3,5,1
49,3,5,1
49,2,5,1
49,1,5,1
37,3,5,1
2,3,3,1
13,3,6,1
2,2,4,1
8,1,3,1
16,3,6,1
39,1,4,1
39,2,4,1
39,3,5,1
2,1,4,1
16,2,6,1
16,1,6,1
40,1,5,1
40,2,5,1
48,3,5,1
62,1,4,2
49,3,5,2
56,3,5,2
62,3,4,2
62,2,4,2
58,1,5,2
49,2,5,2
60,3,5,2
36,3,5,2
36,2,5,2
36,1,5,2
48,2,5,2
48,3,5,2
49,1,5,2
48,1,5,2
60,1,5,2
57,3,5,2
52,1,4,2
35,1,5,2
60,2,5,2
57,1,5,2
35,2,5,2
57,2,5,2
35,3,5,2
52,2,4,2
61,1,5,2
56,2,5,2
54,1,5,2
54,2,5,2
40,1,5,2
40,2,5,2
61,3,5,2
54,3,5,2
45,2,4,2
45,1,4,2
53,2,5,2
43,1,5,2
43,2,5,2
53,3,5,2
43,3,5,2
61,2,5,2
53,1,5,2
45,3,4,2
40,3,5,2
59,1,5,2
56,1,5,2
46,2,4,2
37,1,5,2
37,2,5,2
46,3,4,2
52,3,4,2
37,3,5,2
59,3,5,2
59,2,5,2
55,3,5,2
55,2,5,2
39,1,4,2
39,2,4,2
39,3,5,2
55,1,5,2
46,1,4,2
34,3,5,2
27,1,5,2
34,1,5,2
1,1,4,2
1,3,3,2
5,2,3,2
5,3,2,2
5,1,3,2
6,3,2,2
6,2,3,2
6,1,3,2
68,2,2,2
10,3,6,2
10,2,6,2
10,1,6,2
1,2,4,2
68,3,2,2
11,3,6,2
11,2,6,2
11,1,6,2
12,1,6,2
12,3,6,2
12,2,6,2
13,1,6,2
13,2,6,2
34,2,5,2
67,1,2,2
14,1,6,2
14,2,6,2
68,1,2,2
69,3,2,2
69,2,2,2
7,1,3,2
3,1,4,2
3,2,4,2
3,3,3,2
8,3,2,2
8,2,3,2
8,1,3,2
71,2,3,2
71,3,2,2
9,2,3,2
9,3,2,2
9,1,3,2
71,1,3,2
72,1,4,2
72,3,3,2
72,2,4,2
2,3,3,2
2,2,4,2
2,1,4,2
70,1,2,2
4,3,4,2
4,2,4,2
4,1,4,2
70,2,2,2
70,3,2,2
69,1,2,2
7,3,2,2
7,2,3,2
14,3,6,2
67,3,2,2
13,3,6,2
15,3,6,2
26,2,5,2
26,3,5,2
67,2,2,2
58,2,5,2
27,2,5,2
27,3,5,2
64,2,5,2
64,3,5,2
28,1,4,2
28,2,4,2
28,3,4,2
30,1,5,2
26,1,5,2
30,2,5,2
31,1,5,2
31,2,5,2
31,3,5,2
63,1,5,2
32,2,5,2
32,3,5,2
32,1,5,2
63,2,5,2
63,3,5,2
33,1,5,2
33,2,5,2
33,3,5,2
30,3,5,2
25,2,2,2
64,1,5,2
22,2,2,2
15,2,6,2
15,1,6,2
16,3,6,2
16,2,6,2
16,1,6,2
22,1,2,2
22,3,2,2
25,1,2,2
65,1,5,2
23,3,2,2
23,2,2,2
23,1,2,2
65,2,5,2
58,3,5,2
24,1,2,2
25,3,2,2
24,2,2,2
24,3,2,2
65,3,5,2
73,1,4,2
73,2,5,2
73,3,5,2
74,1,4,2
74,2,5,2
74,3,5,2
13,3,6,3
15,2,6,3
15,3,6,3
35,2,5,3
3,1,4,3
3,2,4,3
70,3,2,3
35,1,5,3
16,1,6,3
70,1,2,3
14,3,6,3
13,2,6,3
70,2,2,3
73,1,4,3
57,2,5,3
73,3,5,3
16,3,6,3
2,1,4,3
68,2,2,3
16,2,6,3
68,3,2,3
68,1,2,3
2,2,4,3
2,3,3,3
69,3,2,3
73,2,5,3
69,2,2,3
24,3,2,3
15,1,6,3
14,1,6,3
14,2,6,3
57,3,5,3
57,1,5,3
35,3,5,3
24,2,2,3
24,1,2,3
69,1,2,3
72,2,4,3
33,2,5,3
13,1,6,3
6,3,2,3
6,2,3,3
6,1,3,3
12,2,6,3
71,2,3,3
8,1,3,3
8,2,3,3
10,3,6,3
10,2,6,3
12,3,6,3
12,1,6,3
71,1,3,3
10,1,6,3
22,3,2,3
8,3,2,3
71,3,2,3
11,3,6,3
11,2,6,3
22,2,2,3
74,3,5,3
72,3,3,3
74,2,5,3
9,3,2,3
72,1,4,3
3,3,3,3
33,1,5,3
22,1,2,3
33,3,5,3
23,1,2,3
34,2,5,3
1,1,4,3
1,3,3,3
1,2,4,3
23,2,2,3
23,3,2,3
34,1,5,3
34,3,5,3
9,1,3,3
5,2,3,3
5,3,2,3
74,1,4,3
5,1,3,3
9,2,3,3
11,1,6,3
25,2,2,3
67,3,2,3
54,3,5,3
40,3,5,3
40,2,5,3
55,3,5,3
55,2,5,3
55,1,5,3
40,1,5,3
36,3,5,3
36,2,5,3
36,1,5,3
27,3,5,3
31,1,5,3
31,2,5,3
39,3,5,3
56,3,5,3
56,2,5,3
56,1,5,3
27,2,5,3
27,1,5,3
67,2,2,3
39,1,4,3
58,1,5,3
58,2,5,3
54,2,5,3
58,3,5,3
54,1,5,3
28,1,4,3
46,1,4,3
30,2,5,3
30,1,5,3
48,2,5,3
48,3,5,3
48,1,5,3
30,3,5,3
45,3,4,3
45,1,4,3
45,2,4,3
49,3,5,3
49,2,5,3
49,1,5,3
52,1,4,3
52,2,4,3
52,3,4,3
28,3,4,3
43,3,5,3
43,2,5,3
53,2,5,3
53,3,5,3
53,1,5,3
28,2,4,3
43,1,5,3
31,3,5,3
39,2,4,3
63,2,5,3
7,1,3,3
62,1,4,3
62,3,4,3
62,2,4,3
63,1,5,3
37,3,5,3
63,3,5,3
32,2,5,3
32,3,5,3
32,1,5,3
64,2,5,3
64,3,5,3
64,1,5,3
25,3,2,3
4,1,4,3
65,1,5,3
65,2,5,3
65,3,5,3
25,1,2,3
46,2,4,3
4,2,4,3
4,3,4,3
67,1,2,3
7,3,2,3
7,2,3,3
46,3,4,3
26,2,5,3
26,1,5,3
60,1,5,3
60,3,5,3
61,1,5,3
60,2,5,3
61,3,5,3
37,1,5,3
37,2,5,3
59,2,5,3
61,2,5,3
59,3,5,3
59,1,5,3
26,3,5,3
48,1,5,4
49,2,5,4
49,3,5,4
14,1,6,4
3,1,4,4
3,2,4,4
32,1,5,4
14,3,6,4
52,3,4,4
32,2,5,4
64,1,5,4
48,3,5,4
32,3,5,4
73,1,4,4
31,3,5,4
73,2,5,4
52,1,4,4
2,3,3,4
28,1,4,4
52,2,4,4
28,3,4,4
28,2,4,4
2,2,4,4
2,1,4,4
30,2,5,4
73,3,5,4
30,1,5,4
55,1,5,4
49,1,5,4
64,2,5,4
64,3,5,4
31,1,5,4
31,2,5,4
14,2,6,4
55,2,5,4
55,3,5,4
30,3,5,4
72,1,4,4
65,2,5,4
48,2,5,4
39,3,5,4
39,1,4,4
39,2,4,4
45,2,4,4
71,2,3,4
8,3,2,4
8,2,3,4
40,3,5,4
40,2,5,4
45,1,4,4
45,3,4,4
71,3,2,4
40,1,5,4
53,1,5,4
8,1,3,4
71,1,3,4
43,3,5,4
43,2,5,4
53,2,5,4
74,1,4,4
72,3,3,4
74,2,5,4
9,1,3,4
72,2,4,4
3,3,3,4
65,1,5,4
53,3,5,4
65,3,5,4
54,1,5,4
46,3,4,4
63,2,5,4
63,1,5,4
63,3,5,4
54,2,5,4
54,3,5,4
46,2,4,4
46,1,4,4
9,2,3,4
37,3,5,4
37,1,5,4
74,3,5,4
37,2,5,4
9,3,2,4
43,1,5,4
36,3,5,4
27,2,5,4
10,1,6,4
69,1,2,4
69,2,2,4
11,3,6,4
11,2,6,4
11,1,6,4
69,3,2,4
12,2,6,4
12,3,6,4
12,1,6,4
58,3,5,4
61,1,5,4
61,3,5,4
68,1,2,4
34,2,5,4
34,1,5,4
34,3,5,4
58,2,5,4
58,1,5,4
27,1,5,4
68,2,2,4
13,3,6,4
13,2,6,4
10,2,6,4
13,1,6,4
10,3,6,4
59,2,5,4
35,3,5,4
60,3,5,4
60,1,5,4
33,2,5,4
33,1,5,4
33,3,5,4
60,2,5,4
70,2,2,4
70,1,2,4
70,3,2,4
1,1,4,4
1,3,3,4
1,2,4,4
5,2,3,4
5,3,2,4
5,1,3,4
59,1,5,4
57,1,5,4
57,3,5,4
6,3,2,4
6,2,3,4
6,1,3,4
59,3,5,4
57,2,5,4
61,2,5,4
68,3,2,4
24,2,2,4
7,1,3,4
23,1,2,4
23,2,2,4
23,3,2,4
24,3,2,4
67,1,2,4
24,1,2,4
62,1,4,4
62,3,4,4
62,2,4,4
25,2,2,4
25,3,2,4
25,1,2,4
36,1,5,4
4,3,4,4
26,2,5,4
26,1,5,4
26,3,5,4
36,2,5,4
35,2,5,4
4,2,4,4
4,1,4,4
27,3,5,4
7,3,2,4
7,2,3,4
35,1,5,4
56,3,5,4
56,1,5,4
16,3,6,4
16,1,6,4
22,3,2,4
16,2,6,4
22,2,2,4
67,3,2,4
67,2,2,4
15,1,6,4
22,1,2,4
15,3,6,4
15,2,6,4
56,2,5,4
33,3,5,5
1,3,3,5
1,1,4,5
64,2,5,5
3,1,4,5
3,2,4,5
27,3,5,5
64,1,5,5
5,1,3,5
27,2,5,5
25,1,2,5
33,1,5,5
27,1,5,5
73,1,4,5
62,2,4,5
73,3,5,5
5,2,3,5
2,1,4,5
60,3,5,5
5,3,2,5
60,1,5,5
60,2,5,5
2,2,4,5
2,3,3,5
61,1,5,5
73,2,5,5
61,3,5,5
11,1,6,5
1,2,4,5
25,2,2,5
25,3,2,5
62,1,4,5
62,3,4,5
64,3,5,5
11,2,6,5
11,3,6,5
61,2,5,5
72,2,4,5
26,1,5,5
33,2,5,5
68,1,2,5
68,2,2,5
68,3,2,5
70,3,2,5
71,2,3,5
8,1,3,5
8,2,3,5
69,1,2,5
69,2,2,5
70,1,2,5
70,2,2,5
71,1,3,5
69,3,2,5
6,1,3,5
8,3,2,5
71,3,2,5
57,1,5,5
57,3,5,5
6,3,2,5
74,3,5,5
72,3,3,5
74,2,5,5
9,2,3,5
72,1,4,5
3,3,3,5
26,2,5,5
6,2,3,5
26,3,5,5
10,3,6,5
35,1,5,5
24,2,2,5
24,3,2,5
24,1,2,5
10,2,6,5
10,1,6,5
35,2,5,5
35,3,5,5
9,3,2,5
67,1,2,5
67,3,2,5
74,1,4,5
67,2,2,5
9,1,3,5
57,2,5,5
12,2,6,5
59,1,5,5
43,1,5,5
31,2,5,5
31,1,5,5
45,2,4,5
45,1,4,5
45,3,4,5
31,3,5,5
46,3,4,5
46,2,4,5
46,1,4,5
13,1,6,5
22,3,2,5
22,2,2,5
30,3,5,5
48,1,5,5
48,3,5,5
48,2,5,5
13,2,6,5
13,3,6,5
59,3,5,5
30,2,5,5
49,2,5,5
49,3,5,5
43,2,5,5
49,1,5,5
43,3,5,5
15,1,6,5
65,3,5,5
16,1,6,5
16,3,6,5
63,2,5,5
63,1,5,5
63,3,5,5
16,2,6,5
14,2,6,5
14,3,6,5
14,1,6,5
37,3,5,5
37,1,5,5
37,2,5,5
39,3,5,5
39,1,4,5
39,2,4,5
15,2,6,5
32,3,5,5
32,2,5,5
40,3,5,5
40,2,5,5
40,1,5,5
15,3,6,5
32,1,5,5
22,1,2,5
30,1,5,5
36,1,5,5
7,1,3,5
55,1,5,5
55,2,5,5
55,3,5,5
36,3,5,5
28,2,4,5
36,2,5,5
23,1,2,5
23,2,2,5
23,3,2,5
56,3,5,5
56,1,5,5
56,2,5,5
12,1,6,5
4,1,4,5
58,3,5,5
58,2,5,5
58,1,5,5
12,3,6,5
65,2,5,5
4,2,4,5
4,3,4,5
59,2,5,5
7,3,2,5
7,2,3,5
65,1,5,5
34,2,5,5
34,3,5,5
53,2,5,5
53,1,5,5
54,1,5,5
53,3,5,5
54,2,5,5
28,1,4,5
28,3,4,5
52,2,4,5
54,3,5,5
52,1,4,5
52,3,4,5
34,1,5,5
60,3,5,6
60,1,5,6
60,2,5,6
74,3,5,6
68,1,2,6
15,3,6,6
68,3,2,6
12,1,6,6
12,2,6,6
65,1,5,6
73,2,5,6
74,2,5,6
74,1,4,6
67,1,2,6
68,2,2,6
1,3,3,6
12,3,6,6
69,2,2,6
10,3,6,6
11,3,6,6
11,2,6,6
11,1,6,6
59,2,5,6
59,3,5,6
59,1,5,6
70,3,2,6
69,3,2,6
70,1,2,6
1,2,4,6
1,1,4,6
65,3,5,6
65,2,5,6
10,2,6,6
10,1,6,6
67,3,2,6
69,1,2,6
70,2,2,6
67,2,2,6
25,2,2,6
61,2,5,6
14,1,6,6
14,3,6,6
22,3,2,6
22,2,2,6
22,1,2,6
14,2,6,6
63,3,5,6
63,1,5,6
64,1,5,6
64,3,5,6
16,1,6,6
16,3,6,6
16,2,6,6
6,2,3,6
6,3,2,6
63,2,5,6
15,1,6,6
15,2,6,6
73,1,4,6
62,2,4,6
23,3,2,6
64,2,5,6
61,3,5,6
61,1,5,6
25,1,2,6
6,1,3,6
25,3,2,6
5,3,2,6
13,3,6,6
5,2,3,6
13,2,6,6
13,1,6,6
24,2,2,6
24,3,2,6
24,1,2,6
5,1,3,6
62,3,4,6
62,1,4,6
23,1,2,6
23,2,2,6
72,2,4,6
73,3,5,6
72,3,3,6
26,2,5,6
71,3,2,6
36,3,5,6
45,1,4,6
45,2,4,6
36,2,5,6
49,2,5,6
54,3,5,6
54,2,5,6
54,1,5,6
35,1,5,6
36,1,5,6
35,2,5,6
72,1,4,6
34,2,5,6
34,3,5,6
34,1,5,6
8,3,2,6
49,3,5,6
7,3,2,6
8,2,3,6
55,3,5,6
35,3,5,6
45,3,4,6
3,1,4,6
37,2,5,6
43,1,5,6
43,2,5,6
43,3,5,6
52,3,4,6
52,1,4,6
52,2,4,6
40,3,5,6
40,2,5,6
40,1,5,6
4,2,4,6
4,3,4,6
39,3,5,6
39,1,4,6
39,2,4,6
3,3,3,6
3,2,4,6
53,3,5,6
53,1,5,6
53,2,5,6
37,3,5,6
37,1,5,6
55,2,5,6
4,1,4,6
55,1,5,6
33,1,5,6
33,3,5,6
28,2,4,6
28,1,4,6
28,3,4,6
9,2,3,6
57,1,5,6
27,3,5,6
27,2,5,6
27,1,5,6
57,2,5,6
49,1,5,6
58,2,5,6
58,3,5,6
26,1,5,6
26,3,5,6
48,2,5,6
48,3,5,6
48,1,5,6
71,2,3,6
71,1,3,6
58,1,5,6
2,3,3,6
57,3,5,6
9,1,3,6
33,2,5,6
8,1,3,6
32,3,5,6
32,2,5,6
32,1,5,6
2,1,4,6
56,2,5,6
56,1,5,6
9,3,2,6
7,2,3,6
56,3,5,6
46,1,4,6
31,2,5,6
31,1,5,6
31,3,5,6
46,2,4,6
46,3,4,6
2,2,4,6
30,3,5,6
30,2,5,6
30,1,5,6
7,1,3,6
35,3,5,7
35,2,5,7
67,1,2,7
34,2,5,7
34,1,5,7
31,1,5,7
31,3,5,7
33,2,5,7
14,1,6,7
33,1,5,7
35,1,5,7
32,3,5,7
2,1,4,7
67,3,2,7
13,2,6,7
68,3,2,7
68,2,2,7
32,2,5,7
32,1,5,7
69,1,2,7
69,2,2,7
2,3,3,7
2,2,4,7
68,1,2,7
13,1,6,7
70,2,2,7
67,2,2,7
70,1,2,7
70,3,2,7
13,3,6,7
34,3,5,7
31,2,5,7
69,3,2,7
30,1,5,7
1,1,4,7
11,3,6,7
4,2,4,7
8,3,2,7
8,2,3,7
8,1,3,7
4,1,4,7
7,2,3,7
9,1,3,7
9,2,3,7
9,3,2,7
36,2,5,7
10,3,6,7
7,3,2,7
7,1,3,7
72,1,4,7
72,3,3,7
72,2,4,7
10,1,6,7
57,1,5,7
57,3,5,7
57,2,5,7
6,1,3,7
10,2,6,7
33,3,5,7
36,1,5,7
28,1,4,7
1,3,3,7
1,2,4,7
12,1,6,7
12,3,6,7
30,3,5,7
24,1,2,7
5,2,3,7
5,3,2,7
5,1,3,7
12,2,6,7
36,3,5,7
30,2,5,7
3,2,4,7
3,3,3,7
4,3,4,7
46,3,4,7
46,2,4,7
46,1,4,7
11,1,6,7
11,2,6,7
28,2,4,7
28,3,4,7
3,1,4,7
24,3,2,7
15,1,6,7
14,3,6,7
25,2,2,7
74,2,5,7
39,2,4,7
39,1,4,7
54,1,5,7
54,2,5,7
54,3,5,7
74,3,5,7
39,3,5,7
55,1,5,7
55,2,5,7
55,3,5,7
23,3,2,7
23,2,2,7
56,3,5,7
56,1,5,7
56,2,5,7
23,1,2,7
24,2,2,7
37,1,5,7
37,3,5,7
58,3,5,7
58,2,5,7
25,3,2,7
58,1,5,7
53,3,5,7
53,1,5,7
43,1,5,7
43,2,5,7
43,3,5,7
45,2,4,7
45,1,4,7
45,3,4,7
48,1,5,7
48,3,5,7
48,2,5,7
71,1,3,7
71,3,2,7
