Id,CropName,CropTypeId,YieldCd,CropRemovalFactorNitrogen,CropRemovalFactorP2O5,CropRemovalFactorK2O,NitrogenRecommendationId,NitrogenRecommendationPoundPerAcre,NitrogenRecommendationUpperLimitPoundPerAcre,PreviousCropCode,SortNumber,ManureApplicationHistory,HarvestBushelsPerTon,StaticDataVersionId
1,Alfalfa or legume dominant stand (1 cut),1,2,64,18.32,50.4,1,0,,2,100,2,,1
2,Alfalfa or legume dominant stand (2 cuts),1,2,64,18.32,50.4,1,0,,2,100,0,,1
3,Alfalfa or legume dominant stand (3 cuts),1,2,64,18.32,50.4,1,0,,2,100,1,,1
4,Corn silage,1,2,25,9.16,24,3,,,1,100,0,,1
5,Grass or mixed stand (1-2 cuts),1,2,32,13.74,45.6,3,,,2,100,2,,1
6,Grass or mixed stand (2-3 cuts),1,2,38,13.74,45.6,3,,,2,100,2,,1
7,Grass or mixed stand (4-5 cuts),1,2,48,16.03,45.6,3,,,2,100,0,,1
8,Grass or mixed stand (5-6 cuts),1,2,58,18.32,48,3,,,2,100,1,,1
9,Grass or mixed stand (7 cuts),1,2,64,18.32,48,3,,,2,100,1,,1
10,Austrian winter pea,2,2,60,20,60,2,0,0,2,100,2,,1
11,Crimson clover,2,2,54.8,12.6,74.4,2,0,0,2,100,2,,1
12,Hairy vetch,2,2,61,18,60,2,0,0,2,100,2,,1
13,Red clover,2,2,58,18,60,2,0,0,2,100,2,,1
14,Annual ryegrass,2,2,35,13.7,45.8,2,0,0,2,100,2,,1
15,"Cereal (barley, oats, wheat, etc.)",2,2,44,16,40,2,0,0,2,100,2,,1
16,Fall rye,2,2,56.8,17.2,74.8,2,0,0,2,100,2,,1
22,Spring wheat (straw removed),4,1,70.59,26.732,60.566,3,,,3,100,2,33.333333,1
23,Spring wheat,4,1,50.123,19.632,14.619,4,84.5,,3,100,2,33.333333,1
24,Barley (straw removed),4,1,58.009,23.256,55.657,3,,,3,100,2,41.666667,1
25,Barley,4,1,40.502,17.507,13.326,4,111,,3,100,2,41.666667,1
26,Asparagus-establishment year,5,1,9.2,3.1,6.8,2,62.45253854,66.91343415,3,100,2,,1
27,Asparagus-established plantings,5,1,9.2,3.1,6.8,2,98.13970342,107.0614946,3,100,2,,1
28,"Beans-green, wax",5,1,7.34,2.8,6.78,2,35.68716488,35.68716488,3,100,2,,1
30,Beets,5,1,11.64,3.56,8.76,2,49.06985171,98.13970342,3,100,2,,1
31,Broccoli,5,1,10,2.5,13.8,2,115.9832859,165.0531376,3,100,2,,1
32,Brussels Sprouts,5,1,13.34,3.145315,10.452,2,107.0614946,115.9832859,3,100,2,,1
33,Cabbage-regular,5,1,4.2,1.7,5,2,107.0614946,151.6704507,3,100,2,,1
34,Cabbage-Chinese,5,1,3.5,1.8,5,2,107.0614946,151.6704507,3,100,2,,1
35,Carrot,5,1,3.62,1.8,7,2,62.45253854,98.13970342,3,100,2,,1
36,Cauliflower,5,1,8.0736,2.77548,7.047936,2,115.9832859,165.0531376,3,100,2,,1
37,Celery-field,5,1,3.815,1.895,11.14,2,62.45253854,62.45253854,3,100,2,,1
39,Corn-sweetcorn,5,2,10.34754196,2.413333333,5.78,2,80.29612098,147.2095551,3,100,2,,1
40,Cucumber,5,1,2.26,1.08,4.6,2,98.13970342,98.13970342,3,100,2,,1
43,Garlic,5,1,20.48,7.86,12.96,2,98.13970342,98.13970342,3,100,2,,1
45,Lettuce-head (western iceberg),5,1,4.6,1.8,6.4,2,98.13970342,156.1313464,3,100,2,,1
46,Lettuce-leaf and eastern iceberg,5,1,4.69,1.715,6.4,2,98.13970342,178.4358244,3,100,2,,1
48,Onions-green ,5,1,4,2.3,2.8,2,80.29612098,98.13970342,3,100,2,,1
49,Onions-dry,5,1,5,2.3,4.5,2,89.2179122,98.13970342,3,100,2,,1
52,Peas,5,1,18.88,5.04,6.24,2,0,13.38268683,3,100,2,,1
53,Pepper,5,1,3.26,1.3,3.86,2,62.45253854,124.9050771,3,100,2,,1
54,Potatoes-early,5,1,7.34,2.58,10.92,2,120.4441815,120.4441815,3,100,2,,1
55,Potatoes-midseason,5,1,7.34,2.58,10.92,2,142.7486595,160.592242,3,100,2,,1
56,Potatoes-late,5,1,7.34,2.58,10.92,2,160.592242,178.4358244,3,100,2,,1
57,Pumpkin,5,1,4.82,1.68,6.22,2,98.13970342,98.13970342,3,100,2,,1
58,Radish-muck,5,1,3.52,1.28,6.72,2,44.6089561,62.45253854,3,100,2,,1
59,Rhubarb-establishment year,5,1,2.24,0.92,8.64,2,71.37432976,71.37432976,3,100,2,,1
60,Rhubarb-established plantings,5,1,2.24,0.92,8.64,2,151.6704507,178.4358244,3,100,2,,1
61,Rutabagas and turnip,5,1,3.06,1.3,6.16,2,31.22626927,40.14806049,3,100,2,,1
62,Spinach-mineral,5,1,9.74,2.38,12.72,2,62.45253854,98.13970342,3,100,2,,1
63,Squash-pumpkins,5,1,4.48,1.74,4.56,2,98.13970342,98.13970342,3,100,2,,1
64,Tomatoes,5,1,3.06,1.3,6.16,2,62.45253854,160.592242,3,100,2,,1
65,"Squash-zucchini, other",5,1,3.84,1.46,5.28,2,98.13970342,98.13970342,3,100,2,,1
66,Other,6,1,0,0,0,2,0,0,3,10,2,,1
67,Oats (straw removed),4,1,66.776,25.394,91.229,3,,,3,100,2,62.5,1
68,Oats,4,1,38.561,15.989,11.6,4,107,,3,100,2,62.5,1
69,Rye (straw removed),4,1,59.925,29.963,85.002,3,,,3,100,2,35.71428571,1
70,Rye,4,1,38.105,15.958,13.027,4,92,,3,100,2,35.71428571,1
71,Canola,4,1,77.391,41.848,20.637,4,125,,3,100,2,40,1
72,Alfalfa or legume dominant stand (4 cuts),1,2,32,9.2,25.2,1,0,,2,100,1,,1
3,Alfalfa or legume dominant stand (3 cuts),1,2,64,18.32,50.4,1,0,,2,100,1,,2
37,Celery-field,5,1,3.815,1.895,11.14,2,62.45253854,62.45253854,3,100,2,,2
39,Corn-sweetcorn,5,2,10.34754196,2.413333333,5.78,2,80.29612098,147.2095551,3,100,2,,2
40,Cucumber,5,1,2.26,1.08,4.6,2,98.13970342,98.13970342,3,100,2,,2
43,Garlic,5,1,20.48,7.86,12.96,2,98.13970342,98.13970342,3,100,2,,2
74,"Hops (established planting, vines removed)",5,2,160,80,180,2,,,2,100,1,,2
45,Lettuce-head (western iceberg),5,1,4.6,1.8,6.4,2,98.13970342,156.1313464,3,100,2,,2
46,Lettuce-leaf and eastern iceberg,5,1,4.69,1.715,6.4,2,98.13970342,178.4358244,3,100,2,,2
48,Onions-green ,5,1,4,2.3,2.8,2,80.29612098,98.13970342,3,100,2,,2
49,Onions-dry,5,1,5,2.3,4.5,2,89.2179122,98.13970342,3,100,2,,2
52,Peas,5,1,18.88,5.04,6.24,2,0,13.38268683,3,100,2,,2
53,Pepper,5,1,3.26,1.3,3.86,2,62.45253854,124.9050771,3,100,2,,2
54,Potatoes-early,5,1,7.34,2.58,10.92,2,120.4441815,120.4441815,3,100,2,,2
55,Potatoes-midseason,5,1,7.34,2.58,10.92,2,142.7486595,160.592242,3,100,2,,2
36,Cauliflower,5,1,8.0736,2.77548,7.047936,2,115.9832859,165.0531376,3,100,2,,2
56,Potatoes-late,5,1,7.34,2.58,10.92,2,160.592242,178.4358244,3,100,2,,2
58,Radish-muck,5,1,3.52,1.28,6.72,2,44.6089561,62.45253854,3,100,2,,2
59,Rhubarb-establishment year,5,1,2.24,0.92,8.64,2,71.37432976,71.37432976,3,100,2,,2
60,Rhubarb-established plantings,5,1,2.24,0.92,8.64,2,151.6704507,178.4358244,3,100,2,,2
61,Rutabagas and turnip,5,1,3.06,1.3,6.16,2,31.22626927,40.14806049,3,100,2,,2
62,Spinach-mineral,5,1,9.74,2.38,12.72,2,62.45253854,98.13970342,3,100,2,,2
63,Squash-pumpkins,5,1,4.48,1.74,4.56,2,98.13970342,98.13970342,3,100,2,,2
64,Tomatoes,5,1,3.06,1.3,6.16,2,62.45253854,160.592242,3,100,2,,2
65,"Squash-zucchini, other",5,1,3.84,1.46,5.28,2,98.13970342,98.13970342,3,100,2,,2
66,Other,6,1,0,0,0,2,0,0,3,10,2,,2
67,Oats (straw removed),4,1,66.776,25.394,91.229,3,,,3,100,2,62.5,2
68,Oats,4,1,38.561,15.989,11.6,4,107,,3,100,2,62.5,2
69,Rye (straw removed),4,1,59.925,29.963,85.002,3,,,3,100,2,35.71428571,2
57,Pumpkin,5,1,4.82,1.68,6.22,2,98.13970342,98.13970342,3,100,2,,2
70,Rye,4,1,38.105,15.958,13.027,4,92,,3,100,2,35.71428571,2
35,Carrot,5,1,3.62,1.8,7,2,62.45253854,98.13970342,3,100,2,,2
33,Cabbage-regular,5,1,4.2,1.7,5,2,107.0614946,151.6704507,3,100,2,,2
8,Grass or mixed stand (5-6 cuts),1,2,58,18.32,48,3,,,2,100,1,,2
9,Grass or mixed stand (7 cuts),1,2,64,18.32,48,3,,,2,100,1,,2
72,Alfalfa or legume dominant stand (4 cuts),1,2,32,9.2,25.2,1,0,,2,100,1,,2
2,Alfalfa or legume dominant stand (2 cuts),1,2,64,18.32,50.4,1,0,,2,100,0,,2
4,Corn silage,1,2,25,9.16,24,3,,,1,100,0,,2
7,Grass or mixed stand (4-5 cuts),1,2,48,16.03,45.6,3,,,2,100,0,,2
1,Alfalfa or legume dominant stand (1 cut),1,2,64,18.32,50.4,1,0,,2,100,2,,2
5,Grass or mixed stand (1-2 cuts),1,2,32,13.74,45.6,3,,,2,100,2,,2
6,Grass or mixed stand (2-3 cuts),1,2,38,13.74,45.6,3,,,2,100,2,,2
10,Austrian winter pea,2,2,60,20,60,2,0,0,2,100,2,,2
11,Crimson clover,2,2,54.8,12.6,74.4,2,0,0,2,100,2,,2
12,Hairy vetch,2,2,61,18,60,2,0,0,2,100,2,,2
34,Cabbage-Chinese,5,1,3.5,1.8,5,2,107.0614946,151.6704507,3,100,2,,2
13,Red clover,2,2,58,18,60,2,0,0,2,100,2,,2
15,"Cereal (barley, oats, wheat, etc.)",2,2,44,16,40,2,0,0,2,100,2,,2
16,Fall rye,2,2,56.8,17.2,74.8,2,0,0,2,100,2,,2
22,Spring wheat (straw removed),4,1,70.59,26.732,60.566,3,,,3,100,2,33.333333,2
23,Spring wheat,4,1,50.123,19.632,14.619,4,84.5,,3,100,2,33.333333,2
24,Barley (straw removed),4,1,58.009,23.256,55.657,3,,,3,100,2,41.666667,2
25,Barley,4,1,40.502,17.507,13.326,4,111,,3,100,2,41.666667,2
26,Asparagus-establishment year,5,1,9.2,3.1,6.8,2,62.45253854,66.91343415,3,100,2,,2
27,Asparagus-established plantings,5,1,9.2,3.1,6.8,2,98.13970342,107.0614946,3,100,2,,2
28,"Beans-green, wax",5,1,7.34,2.8,6.78,2,35.68716488,35.68716488,3,100,2,,2
30,Beets,5,1,11.64,3.56,8.76,2,49.06985171,98.13970342,3,100,2,,2
31,Broccoli,5,1,10,2.5,13.8,2,115.9832859,165.0531376,3,100,2,,2
32,Brussels Sprouts,5,1,13.34,3.145315,10.452,2,107.0614946,115.9832859,3,100,2,,2
14,Annual ryegrass,2,2,35,13.7,45.8,2,0,0,2,100,2,,2
71,Canola,4,1,77.391,41.848,20.637,4,125,,3,100,2,40,2
73,Hops (establishment year),5,2,0,0,0,1,75,75,2,100,1,,2
3,Alfalfa or legume dominant stand (3 cuts),1,2,64,18.32,50.4,1,0,,2,100,1,,3
67,Oats (straw removed),4,1,66.776,25.394,91.229,3,,,3,100,2,62.5,3
68,Oats,4,1,38.561,15.989,11.6,4,107,,3,100,2,62.5,3
69,Rye (straw removed),4,1,59.925,29.963,85.002,3,,,3,100,2,35.71428571,3
57,Pumpkin,5,1,4.82,1.68,6.22,2,98.13970342,98.13970342,3,100,2,,3
70,Rye,4,1,38.105,15.958,13.027,4,92,,3,100,2,35.71428571,3
35,Carrot,5,1,3.62,1.8,7,2,62.45253854,98.13970342,3,100,2,,3
33,Cabbage-regular,5,1,4.2,1.7,5,2,107.0614946,151.6704507,3,100,2,,3
1,Alfalfa or legume dominant stand (1 cut),1,2,64,18.32,50.4,1,0,,2,100,2,,3
5,Grass or mixed stand (1-2 cuts),1,2,32,13.74,45.6,3,,,2,100,2,,3
6,Grass or mixed stand (2-3 cuts),1,2,38,13.74,45.6,3,,,2,100,2,,3
10,Austrian winter pea,2,2,60,20,60,2,0,0,2,100,2,,3
11,Crimson clover,2,2,54.8,12.6,74.4,2,0,0,2,100,2,,3
12,Hairy vetch,2,2,61,18,60,2,0,0,2,100,2,,3
34,Cabbage-Chinese,5,1,3.5,1.8,5,2,107.0614946,151.6704507,3,100,2,,3
13,Red clover,2,2,58,18,60,2,0,0,2,100,2,,3
15,"Cereal (barley, oats, wheat, etc.)",2,2,44,16,40,2,0,0,2,100,2,,3
16,Fall rye,2,2,56.8,17.2,74.8,2,0,0,2,100,2,,3
22,Spring wheat (straw removed),4,1,70.59,26.732,60.566,3,,,3,100,2,33.333333,3
23,Spring wheat,4,1,50.123,19.632,14.619,4,84.5,,3,100,2,33.333333,3
24,Barley (straw removed),4,1,58.009,23.256,55.657,3,,,3,100,2,41.666667,3
25,Barley,4,1,40.502,17.507,13.326,4,111,,3,100,2,41.666667,3
26,Asparagus-establishment year,5,1,9.2,3.1,6.8,2,62.45253854,66.91343415,3,100,2,,3
27,Asparagus-established plantings,5,1,9.2,3.1,6.8,2,98.13970342,107.0614946,3,100,2,,3
28,"Beans-green, wax",5,1,7.34,2.8,6.78,2,35.68716488,35.68716488,3,100,2,,3
30,Beets,5,1,11.64,3.56,8.76,2,49.06985171,98.13970342,3,100,2,,3
31,Broccoli,5,1,10,2.5,13.8,2,115.9832859,165.0531376,3,100,2,,3
32,Brussels Sprouts,5,1,13.34,3.145315,10.452,2,107.0614946,115.9832859,3,100,2,,3
66,Other,6,1,0,0,0,2,0,0,3,10,2,,3
14,Annual ryegrass,2,2,35,13.7,45.8,2,0,0,2,100,2,,3
65,"Squash-zucchini, other",5,1,3.84,1.46,5.28,2,98.13970342,98.13970342,3,100,2,,3
63,Squash-pumpkins,5,1,4.48,1.74,4.56,2,98.13970342,98.13970342,3,100,2,,3
74,"Hops (established planting, vines removed)",5,2,160,80,180,2,,,2,100,1,,3
8,Grass or mixed stand (5-6 cuts),1,2,58,18.32,48,3,,,2,100,1,,3
9,Grass or mixed stand (7 cuts),1,2,64,18.32,48,3,,,2,100,1,,3
72,Alfalfa or legume dominant stand (4 cuts),1,2,32,9.2,25.2,1,0,,2,100,1,,3
73,Hops (establishment year),5,2,0,0,0,1,75,75,2,100,1,,3
2,Alfalfa or legume dominant stand (2 cuts),1,2,64,18.32,50.4,1,0,,2,100,0,,3
4,Corn silage,1,2,25,9.16,24,3,,,1,100,0,,3
7,Grass or mixed stand (4-5 cuts),1,2,48,16.03,45.6,3,,,2,100,0,,3
37,Celery-field,5,1,3.815,1.895,11.14,2,62.45253854,62.45253854,3,100,2,,3
39,Corn-sweetcorn,5,2,10.34754196,2.413333333,5.78,2,80.29612098,147.2095551,3,100,2,,3
40,Cucumber,5,1,2.26,1.08,4.6,2,98.13970342,98.13970342,3,100,2,,3
43,Garlic,5,1,20.48,7.86,12.96,2,98.13970342,98.13970342,3,100,2,,3
45,Lettuce-head (western iceberg),5,1,4.6,1.8,6.4,2,98.13970342,156.1313464,3,100,2,,3
46,Lettuce-leaf and eastern iceberg,5,1,4.69,1.715,6.4,2,98.13970342,178.4358244,3,100,2,,3
48,Onions-green ,5,1,4,2.3,2.8,2,80.29612098,98.13970342,3,100,2,,3
49,Onions-dry,5,1,5,2.3,4.5,2,89.2179122,98.13970342,3,100,2,,3
52,Peas,5,1,18.88,5.04,6.24,2,0,13.38268683,3,100,2,,3
53,Pepper,5,1,3.26,1.3,3.86,2,62.45253854,124.9050771,3,100,2,,3
54,Potatoes-early,5,1,7.34,2.58,10.92,2,120.4441815,120.4441815,3,100,2,,3
55,Potatoes-midseason,5,1,7.34,2.58,10.92,2,142.7486595,160.592242,3,100,2,,3
36,Cauliflower,5,1,8.0736,2.77548,7.047936,2,115.9832859,165.0531376,3,100,2,,3
56,Potatoes-late,5,1,7.34,2.58,10.92,2,160.592242,178.4358244,3,100,2,,3
58,Radish-muck,5,1,3.52,1.28,6.72,2,44.6089561,62.45253854,3,100,2,,3
59,Rhubarb-establishment year,5,1,2.24,0.92,8.64,2,71.37432976,71.37432976,3,100,2,,3
60,Rhubarb-established plantings,5,1,2.24,0.92,8.64,2,151.6704507,178.4358244,3,100,2,,3
61,Rutabagas and turnip,5,1,3.06,1.3,6.16,2,31.22626927,40.14806049,3,100,2,,3
62,Spinach-mineral,5,1,9.74,2.38,12.72,2,62.45253854,98.13970342,3,100,2,,3
64,Tomatoes,5,1,3.06,1.3,6.16,2,62.45253854,160.592242,3,100,2,,3
71,Canola,4,1,77.391,41.848,20.637,4,125,,3,100,2,40,3
3,Alfalfa or legume dominant stand (3 cuts),1,2,64,18.32,50.4,1,0,,2,100,1,,4
28,"Beans-green, wax",5,1,7.34,2.8,6.78,2,35.68716488,35.68716488,3,100,2,,4
30,Beets,5,1,11.64,3.56,8.76,2,49.06985171,98.13970342,3,100,2,,4
31,Broccoli,5,1,10,2.5,13.8,2,115.9832859,165.0531376,3,100,2,,4
32,Brussels Sprouts,5,1,13.34,3.145315,10.452,2,107.0614946,115.9832859,3,100,2,,4
66,Other,6,1,0,0,0,2,0,0,3,10,2,,4
14,Annual ryegrass,2,2,35,13.7,45.8,2,0,0,2,100,2,,4
65,"Squash-zucchini, other",5,1,3.84,1.46,5.28,2,98.13970342,98.13970342,3,100,2,,4
63,Squash-pumpkins,5,1,4.48,1.74,4.56,2,98.13970342,98.13970342,3,100,2,,4
37,Celery-field,5,1,3.815,1.895,11.14,2,62.45253854,62.45253854,3,100,2,,4
39,Corn-sweetcorn,5,2,10.34754196,2.413333333,5.78,2,80.29612098,147.2095551,3,100,2,,4
40,Cucumber,5,1,2.26,1.08,4.6,2,98.13970342,98.13970342,3,100,2,,4
43,Garlic,5,1,20.48,7.86,12.96,2,98.13970342,98.13970342,3,100,2,,4
45,Lettuce-head (western iceberg),5,1,4.6,1.8,6.4,2,98.13970342,156.1313464,3,100,2,,4
46,Lettuce-leaf and eastern iceberg,5,1,4.69,1.715,6.4,2,98.13970342,178.4358244,3,100,2,,4
48,Onions-green ,5,1,4,2.3,2.8,2,80.29612098,98.13970342,3,100,2,,4
49,Onions-dry,5,1,5,2.3,4.5,2,89.2179122,98.13970342,3,100,2,,4
52,Peas,5,1,18.88,5.04,6.24,2,0,13.38268683,3,100,2,,4
53,Pepper,5,1,3.26,1.3,3.86,2,62.45253854,124.9050771,3,100,2,,4
54,Potatoes-early,5,1,7.34,2.58,10.92,2,120.4441815,120.4441815,3,100,2,,4
55,Potatoes-midseason,5,1,7.34,2.58,10.92,2,142.7486595,160.592242,3,100,2,,4
36,Cauliflower,5,1,8.0736,2.77548,7.047936,2,115.9832859,165.0531376,3,100,2,,4
56,Potatoes-late,5,1,7.34,2.58,10.92,2,160.592242,178.4358244,3,100,2,,4
58,Radish-muck,5,1,3.52,1.28,6.72,2,44.6089561,62.45253854,3,100,2,,4
59,Rhubarb-establishment year,5,1,2.24,0.92,8.64,2,71.37432976,71.37432976,3,100,2,,4
60,Rhubarb-established plantings,5,1,2.24,0.92,8.64,2,151.6704507,178.4358244,3,100,2,,4
61,Rutabagas and turnip,5,1,3.06,1.3,6.16,2,31.22626927,40.14806049,3,100,2,,4
62,Spinach-mineral,5,1,9.74,2.38,12.72,2,62.45253854,98.13970342,3,100,2,,4
27,Asparagus-established plantings,5,1,9.2,3.1,6.8,2,98.13970342,107.0614946,3,100,2,,4
64,Tomatoes,5,1,3.06,1.3,6.16,2,62.45253854,160.592242,3,100,2,,4
26,Asparagus-establishment year,5,1,9.2,3.1,6.8,2,62.45253854,66.91343415,3,100,2,,4
24,Barley (straw removed),4,1,58.009,23.256,55.657,3,,,3,100,2,41.666667,4
74,"Hops (established planting, vines removed)",5,2,160,80,180,2,,,2,100,1,,4
8,Grass or mixed stand (5-6 cuts),1,2,58,18.32,48,3,,,2,100,1,,4
9,Grass or mixed stand (7 cuts),1,2,64,18.32,48,3,,,2,100,1,,4
72,Alfalfa or legume dominant stand (4 cuts),1,2,32,9.2,25.2,1,0,,2,100,1,,4
73,Hops (establishment year),5,2,0,0,0,1,75,75,2,100,1,,4
2,Alfalfa or legume dominant stand (2 cuts),1,2,64,18.32,50.4,1,0,,2,100,0,,4
4,Corn silage,1,2,25,9.16,24,3,,,1,100,0,,4
7,Grass or mixed stand (4-5 cuts),1,2,48,16.03,45.6,3,,,2,100,0,,4
67,Oats (straw removed),4,1,66.776,25.394,91.229,3,,,3,100,2,62.5,4
68,Oats,4,1,38.561,15.989,11.6,4,107,,3,100,2,62.5,4
69,Rye (straw removed),4,1,59.925,29.963,85.002,3,,,3,100,2,35.71428571,4
57,Pumpkin,5,1,4.82,1.68,6.22,2,98.13970342,98.13970342,3,100,2,,4
70,Rye,4,1,38.105,15.958,13.027,4,92,,3,100,2,35.71428571,4
35,Carrot,5,1,3.62,1.8,7,2,62.45253854,98.13970342,3,100,2,,4
33,Cabbage-regular,5,1,4.2,1.7,5,2,107.0614946,151.6704507,3,100,2,,4
1,Alfalfa or legume dominant stand (1 cut),1,2,64,18.32,50.4,1,0,,2,100,2,,4
5,Grass or mixed stand (1-2 cuts),1,2,32,13.74,45.6,3,,,2,100,2,,4
6,Grass or mixed stand (2-3 cuts),1,2,38,13.74,45.6,3,,,2,100,2,,4
10,Austrian winter pea,2,2,60,20,60,2,0,0,2,100,2,,4
11,Crimson clover,2,2,54.8,12.6,74.4,2,0,0,2,100,2,,4
12,Hairy vetch,2,2,61,18,60,2,0,0,2,100,2,,4
34,Cabbage-Chinese,5,1,3.5,1.8,5,2,107.0614946,151.6704507,3,100,2,,4
13,Red clover,2,2,58,18,60,2,0,0,2,100,2,,4
15,"Cereal (barley, oats, wheat, etc.)",2,2,44,16,40,2,0,0,2,100,2,,4
16,Fall rye,2,2,56.8,17.2,74.8,2,0,0,2,100,2,,4
22,Spring wheat (straw removed),4,1,70.59,26.732,60.566,3,,,3,100,2,33.333333,4
23,Spring wheat,4,1,50.123,19.632,14.619,4,84.5,,3,100,2,33.333333,4
25,Barley,4,1,40.502,17.507,13.326,4,111,,3,100,2,41.666667,4
71,Canola,4,1,77.391,41.848,20.637,4,125,,3,100,2,40,4
3,Alfalfa or legume dominant stand (3 cuts),1,2,64,18.32,50.4,1,0,,2,100,2,,5
24,Barley (straw removed),4,1,58.009,23.256,55.657,3,,,3,100,0,41.666667,5
67,Oats (straw removed),4,1,66.776,25.394,91.229,3,,,3,100,0,62.5,5
68,Oats,4,1,38.561,15.989,11.6,4,107,,3,100,0,62.5,5
69,Rye (straw removed),4,1,59.925,29.963,85.002,3,,,3,100,0,35.71428571,5
70,Rye,4,1,38.105,15.958,13.027,4,92,,3,100,0,35.71428571,5
26,Asparagus-establishment year,5,1,9.2,3.1,6.8,2,62.45253854,66.91343415,3,100,0,,5
27,Asparagus-established plantings,5,1,9.2,3.1,6.8,2,98.13970342,107.0614946,3,100,0,,5
33,Cabbage-regular,5,1,4.2,1.7,5,2,107.0614946,151.6704507,3,100,0,,5
35,Carrot,5,1,3.62,1.8,7,2,62.45253854,98.13970342,3,100,0,,5
57,Pumpkin,5,1,4.82,1.68,6.22,2,98.13970342,98.13970342,3,100,0,,5
59,Rhubarb-establishment year,5,1,2.24,0.92,8.64,2,71.37432976,71.37432976,3,100,0,,5
60,Rhubarb-established plantings,5,1,2.24,0.92,8.64,2,151.6704507,178.4358244,3,100,0,,5
61,Rutabagas and turnip,5,1,3.06,1.3,6.16,2,31.22626927,40.14806049,3,100,0,,5
62,Spinach-mineral,5,1,9.74,2.38,12.72,2,62.45253854,98.13970342,3,100,0,,5
64,Tomatoes,5,1,3.06,1.3,6.16,2,62.45253854,160.592242,3,100,0,,5
74,"Hops (established planting, vines removed)",5,2,160,80,180,2,,,2,100,1,,5
1,Alfalfa or legume dominant stand (1 cut),1,2,64,18.32,50.4,1,0,,2,100,0,,5
2,Alfalfa or legume dominant stand (2 cuts),1,2,64,18.32,50.4,1,0,,2,100,1,,5
4,Corn silage,1,2,25,9.16,24,3,,,1,100,1,,5
