SoilTestPhosphorousKelownaRangeId,SoilTestPhosphorousRegionCode,PhosphorousCropGroupRegionCode,P2O5RecommendationKilogramPerHectare,StaticDataVersionId
4,3,3,80,1
5,1,6,0,1
5,1,5,80,1
5,1,4,80,1
5,1,3,60,1
5,1,2,40,1
5,1,1,0,1
4,3,6,0,1
4,3,5,100,1
4,3,4,100,1
4,3,2,70,1
4,1,2,60,1
4,2,6,0,1
4,2,5,100,1
4,2,4,100,1
4,2,3,80,1
4,2,2,70,1
4,2,1,60,1
4,1,6,0,1
4,1,5,100,1
4,1,4,100,1
4,1,3,80,1
5,2,1,50,1
4,3,1,60,1
5,2,2,60,1
6,3,3,60,1
5,2,4,90,1
6,3,4,80,1
4,1,1,0,1
6,3,2,50,1
6,3,1,40,1
6,2,6,0,1
6,2,5,80,1
6,2,4,80,1
6,2,3,60,1
6,2,2,50,1
6,2,1,40,1
6,1,6,0,1
5,2,3,70,1
6,1,5,60,1
6,1,3,60,1
6,1,2,30,1
6,1,1,0,1
5,3,6,0,1
5,3,5,90,1
5,3,4,90,1
5,3,3,70,1
5,3,2,60,1
5,3,1,50,1
5,2,6,0,1
5,2,5,90,1
6,1,4,60,1
3,3,6,0,1
2,2,5,140,1
3,3,4,120,1
2,1,4,140,1
2,1,3,120,1
2,1,2,100,1
2,1,1,0,1
1,3,6,0,1
1,3,5,160,1
1,3,4,140,1
1,3,3,120,1
1,3,2,100,1
1,3,1,80,1
1,2,6,0,1
1,2,5,160,1
1,2,4,140,1
1,2,3,120,1
1,2,2,100,1
1,2,1,80,1
1,1,6,0,1
1,1,5,200,1
1,1,4,170,1
1,1,3,140,1
1,1,2,120,1
1,1,1,0,1
6,3,5,80,1
2,1,5,170,1
2,1,6,0,1
2,2,1,80,1
2,2,2,90,1
3,3,3,90,1
3,3,2,80,1
3,3,1,70,1
3,2,6,0,1
3,2,5,120,1
3,2,4,120,1
3,2,3,90,1
3,2,2,80,1
3,2,1,70,1
3,1,6,0,1
3,1,5,144,1
3,3,5,120,1
3,1,4,120,1
3,1,2,80,1
3,1,1,0,1
2,3,6,0,1
2,3,5,140,1
2,3,4,130,1
2,3,3,100,1
2,3,2,90,1
2,3,1,80,1
2,2,6,0,1
2,2,4,130,1
2,2,3,100,1
3,1,3,100,1
6,3,6,0,1
10,1,5,40,1
7,1,2,20,1
11,2,3,20,1
11,2,2,15,1
11,2,1,10,1
11,1,6,0,1
11,1,5,25,1
11,1,4,20,1
11,1,3,15,1
11,1,2,10,1
11,1,1,0,1
10,3,6,0,1
10,3,5,50,1
10,3,4,40,1
10,3,3,30,1
10,3,2,20,1
10,3,1,15,1
10,2,6,0,1
10,2,5,50,1
7,1,1,0,1
10,2,3,30,1
10,2,2,20,1
10,2,1,15,1
10,1,6,0,1
10,1,4,30,1
11,2,4,25,1
10,1,3,20,1
11,2,5,30,1
11,3,1,10,1
12,3,6,0,1
12,3,5,0,1
12,3,4,0,1
12,3,3,0,1
12,3,2,0,1
12,3,1,0,1
12,2,6,0,1
12,2,5,0,1
12,2,4,0,1
12,2,3,0,1
12,2,2,0,1
12,2,1,0,1
12,1,6,0,1
12,1,5,0,1
12,1,4,0,1
12,1,3,0,1
12,1,2,0,1
12,1,1,0,1
11,3,6,0,1
11,3,5,30,1
11,3,4,25,1
11,3,3,20,1
11,3,2,15,1
11,2,6,0,1
10,1,2,15,1
10,2,4,40,1
9,3,6,0,1
8,2,2,30,1
8,2,1,20,1
8,1,6,0,1
8,1,5,40,1
8,1,4,30,1
8,1,3,20,1
10,1,1,0,1
8,1,1,0,1
7,3,6,0,1
7,3,5,70,1
7,3,4,70,1
8,2,3,40,1
7,3,3,50,1
7,3,1,30,1
7,2,6,0,1
7,2,5,70,1
7,2,4,70,1
7,2,3,50,1
7,2,2,40,1
7,2,1,30,1
7,1,6,0,1
7,1,5,50,1
7,1,4,40,1
7,1,3,30,1
7,3,2,40,1
8,2,4,60,1
8,1,2,15,1
8,2,6,0,1
9,3,5,50,1
9,3,4,40,1
8,2,5,60,1
9,3,2,20,1
9,3,1,15,1
9,2,6,0,1
9,2,5,50,1
9,2,4,40,1
9,2,3,30,1
9,2,2,20,1
9,2,1,15,1
9,3,3,30,1
9,1,5,40,1
9,1,4,30,1
9,1,3,20,1
9,1,2,15,1
9,1,1,0,1
8,3,6,0,1
8,3,5,60,1
8,3,4,60,1
8,3,3,40,1
8,3,2,30,1
8,3,1,20,1
9,1,6,0,1
4,2,4,100,2
4,2,3,80,2
4,2,2,70,2
4,2,1,60,2
4,1,6,0,2
4,1,5,100,2
4,1,4,100,2
4,1,3,80,2
4,3,1,60,2
4,1,1,0,2
5,1,6,0,2
5,1,5,80,2
5,1,4,80,2
5,1,3,60,2
5,1,2,40,2
5,1,1,0,2
5,2,1,50,2
5,2,2,60,2
5,2,4,90,2
5,2,3,70,2
5,3,6,0,2
5,3,5,90,2
5,3,4,90,2
5,3,3,70,2
5,3,2,60,2
5,3,1,50,2
5,2,6,0,2
5,2,5,90,2
6,3,3,60,2
6,3,4,80,2
6,3,2,50,2
4,2,5,100,2
3,2,4,120,2
4,1,2,60,2
6,3,1,40,2
2,3,4,130,2
2,3,3,100,2
2,3,2,90,2
2,3,1,80,2
2,2,6,0,2
2,2,4,130,2
2,2,3,100,2
3,3,6,0,2
3,3,4,120,2
3,3,3,90,2
3,3,2,80,2
3,3,1,70,2
3,2,6,0,2
4,2,6,0,2
3,2,5,120,2
3,2,2,80,2
3,2,1,70,2
3,1,6,0,2
3,1,5,144,2
3,3,5,120,2
3,1,4,120,2
3,1,2,80,2
3,1,1,0,2
3,1,3,100,2
4,3,3,80,2
4,3,6,0,2
4,3,5,100,2
4,3,4,100,2
4,3,2,70,2
3,2,3,90,2
6,2,6,0,2
8,1,5,40,2
6,2,4,80,2
7,3,1,30,2
7,2,6,0,2
7,2,5,70,2
7,2,4,70,2
7,2,3,50,2
7,2,2,40,2
7,2,1,30,2
7,1,6,0,2
7,1,5,50,2
7,1,4,40,2
7,1,3,30,2
7,3,2,40,2
8,2,2,30,2
8,2,1,20,2
7,3,3,50,2
8,1,6,0,2
8,1,4,30,2
8,1,3,20,2
8,1,1,0,2
8,2,3,40,2
8,2,4,60,2
8,1,2,15,2
8,2,6,0,2
8,2,5,60,2
8,3,6,0,2
8,3,5,60,2
8,3,4,60,2
8,3,3,40,2
8,3,2,30,2
8,3,1,20,2
2,3,5,140,2
6,2,5,80,2
7,3,4,70,2
7,3,6,0,2
6,2,3,60,2
6,2,2,50,2
6,2,1,40,2
6,1,6,0,2
6,1,3,60,2
6,1,2,30,2
6,1,1,0,2
6,1,4,60,2
6,3,5,80,2
6,3,6,0,2
9,3,6,0,2
9,3,5,50,2
9,3,4,40,2
9,3,2,20,2
7,3,5,70,2
9,3,1,15,2
9,2,5,50,2
9,2,4,40,2
9,2,3,30,2
9,2,2,20,2
9,2,1,15,2
9,3,3,30,2
9,1,5,40,2
9,1,4,30,2
9,1,3,20,2
9,1,2,15,2
9,1,1,0,2
9,1,6,0,2
7,1,2,20,2
7,1,1,0,2
9,2,6,0,2
2,3,6,0,2
6,1,5,60,2
2,2,1,80,2
12,3,3,0,2
12,3,2,0,2
12,3,1,0,2
12,2,6,0,2
12,2,5,0,2
12,2,4,0,2
12,2,3,0,2
12,3,4,0,2
12,2,2,0,2
12,1,6,0,2
12,1,5,0,2
12,1,4,0,2
12,1,3,0,2
12,1,2,0,2
12,1,1,0,2
10,1,5,40,2
12,2,1,0,2
12,3,5,0,2
12,3,6,0,2
11,2,6,0,2
2,2,2,90,2
11,2,3,20,2
11,2,2,15,2
11,2,1,10,2
11,1,5,25,2
11,1,4,20,2
11,1,3,15,2
11,1,2,10,2
11,1,1,0,2
11,2,4,25,2
11,2,5,30,2
11,3,1,10,2
11,3,6,0,2
11,3,5,30,2
11,3,4,25,2
11,3,3,20,2
11,3,2,15,2
10,3,6,0,2
10,3,5,50,2
11,1,6,0,2
10,3,3,30,2
1,2,4,140,2
1,2,3,120,2
1,2,2,100,2
1,2,1,80,2
1,1,6,0,2
1,1,5,200,2
1,1,4,170,2
1,2,5,160,2
1,1,3,140,2
1,1,1,0,2
2,2,5,140,2
2,1,4,140,2
2,1,3,120,2
2,1,1,0,2
2,1,5,170,2
10,3,4,40,2
1,1,2,120,2
1,2,6,0,2
2,1,2,100,2
1,3,2,100,2
10,3,2,20,2
1,3,1,80,2
10,3,1,15,2
10,2,6,0,2
10,2,5,50,2
10,2,3,30,2
10,2,2,20,2
10,2,1,15,2
10,1,6,0,2
2,1,6,0,2
10,1,3,20,2
10,1,4,30,2
1,3,4,140,2
1,3,5,160,2
1,3,6,0,2
1,3,3,120,2
10,1,1,0,2
10,2,4,40,2
10,1,2,15,2
3,2,2,80,3
3,2,1,70,3
3,1,6,0,3
3,1,5,144,3
3,3,5,120,3
3,1,4,120,3
3,1,2,80,3
3,1,1,0,3
3,1,3,100,3
3,2,3,90,3
1,2,4,140,3
1,2,3,120,3
1,2,2,100,3
1,2,1,80,3
1,1,6,0,3
1,1,5,200,3
1,1,4,170,3
1,2,5,160,3
1,1,3,140,3
1,1,1,0,3
1,1,2,120,3
1,2,6,0,3
1,3,2,100,3
1,3,1,80,3
1,3,4,140,3
1,3,5,160,3
1,3,6,0,3
1,3,3,120,3
10,1,5,40,3
10,3,6,0,3
10,3,5,50,3
3,2,5,120,3
5,2,2,60,3
3,3,1,70,3
10,3,3,30,3
6,1,3,60,3
6,1,2,30,3
6,1,1,0,3
6,1,4,60,3
6,3,5,80,3
6,3,6,0,3
6,1,5,60,3
5,1,6,0,3
5,1,5,80,3
5,1,4,80,3
5,1,3,60,3
5,1,2,40,3
5,1,1,0,3
3,2,6,0,3
5,2,1,50,3
5,2,3,70,3
5,3,6,0,3
5,3,5,90,3
5,3,4,90,3
5,3,3,70,3
5,3,2,60,3
5,3,1,50,3
5,2,6,0,3
5,2,5,90,3
3,2,4,120,3
3,3,6,0,3
3,3,4,120,3
3,3,3,90,3
3,3,2,80,3
5,2,4,90,3
10,3,4,40,3
2,3,1,80,3
10,3,1,15,3
11,1,3,15,3
11,1,2,10,3
11,1,1,0,3
11,2,4,25,3
11,2,5,30,3
11,3,1,10,3
11,3,6,0,3
11,3,5,30,3
11,3,4,25,3
11,3,3,20,3
11,3,2,15,3
11,1,6,0,3
2,3,4,130,3
2,3,3,100,3
11,1,4,20,3
2,3,2,90,3
2,2,6,0,3
2,2,4,130,3
2,2,3,100,3
2,3,5,140,3
2,3,6,0,3
2,2,1,80,3
2,2,2,90,3
2,2,5,140,3
2,1,4,140,3
2,1,3,120,3
2,1,1,0,3
2,1,5,170,3
2,1,2,100,3
2,1,6,0,3
6,1,6,0,3
10,3,2,20,3
11,1,5,25,3
11,2,2,15,3
10,2,6,0,3
10,2,5,50,3
10,2,3,30,3
10,2,2,20,3
10,1,6,0,3
10,1,3,20,3
10,1,4,30,3
10,1,1,0,3
10,2,4,40,3
10,1,2,15,3
12,3,3,0,3
12,3,2,0,3
12,3,1,0,3
12,2,6,0,3
11,2,1,10,3
12,2,5,0,3
12,2,3,0,3
12,3,4,0,3
12,2,2,0,3
12,1,6,0,3
12,1,5,0,3
12,1,4,0,3
12,1,3,0,3
12,1,2,0,3
12,1,1,0,3
12,2,1,0,3
12,3,5,0,3
12,3,6,0,3
11,2,6,0,3
11,2,3,20,3
12,2,4,0,3
6,2,1,40,3
10,2,1,15,3
6,2,3,60,3
4,2,1,60,3
4,1,6,0,3
4,1,5,100,3
4,1,4,100,3
4,1,3,80,3
4,3,1,60,3
4,1,1,0,3
4,2,2,70,3
4,2,5,100,3
4,2,6,0,3
4,3,3,80,3
4,3,6,0,3
4,3,5,100,3
4,3,4,100,3
4,3,2,70,3
7,3,1,30,3
4,1,2,60,3
4,2,3,80,3
4,2,4,100,3
8,3,1,20,3
6,2,2,50,3
8,1,5,40,3
8,2,2,30,3
8,2,1,20,3
8,1,4,30,3
8,1,3,20,3
8,1,1,0,3
8,2,3,40,3
8,2,4,60,3
8,1,2,15,3
8,2,6,0,3
8,2,5,60,3
8,3,6,0,3
8,3,5,60,3
8,3,4,60,3
8,3,3,40,3
8,3,2,30,3
7,2,6,0,3
7,2,5,70,3
8,1,6,0,3
7,2,3,50,3
9,2,2,20,3
9,2,1,15,3
9,3,3,30,3
9,1,5,40,3
9,1,4,30,3
9,1,3,20,3
9,1,2,15,3
9,2,3,30,3
9,1,1,0,3
9,2,6,0,3
6,3,3,60,3
6,3,4,80,3
6,3,2,50,3
6,2,6,0,3
6,2,4,80,3
7,2,4,70,3
9,1,6,0,3
9,2,4,40,3
6,3,1,40,3
9,3,1,15,3
7,2,2,40,3
9,2,5,50,3
7,2,1,30,3
7,1,6,0,3
7,1,5,50,3
7,1,4,40,3
7,1,3,30,3
7,3,2,40,3
7,3,3,50,3
6,2,5,80,3
7,3,6,0,3
7,3,4,70,3
9,3,4,40,3
9,3,5,50,3
9,3,6,0,3
9,3,2,20,3
7,1,1,0,3
7,1,2,20,3
7,3,5,70,3
5,3,6,0,4
5,2,3,70,4
5,2,1,50,4
5,1,1,0,4
5,1,2,40,4
5,1,3,60,4
5,1,4,80,4
5,1,5,80,4
5,1,6,0,4
5,2,2,60,4
9,3,2,20,4
9,3,6,0,4
9,3,5,50,4
9,3,4,40,4
9,2,5,50,4
9,3,1,15,4
9,2,4,40,4
9,1,6,0,4
9,2,6,0,4
9,1,1,0,4
9,2,3,30,4
9,1,2,15,4
9,1,3,20,4
9,1,4,30,4
9,1,5,40,4
9,3,3,30,4
9,2,1,15,4
9,2,2,20,4
7,3,5,70,4
7,1,2,20,4
7,1,1,0,4
5,3,5,90,4
1,1,2,120,4
5,3,3,70,4
7,3,4,70,4
10,3,2,20,4
10,3,1,15,4
10,3,4,40,4
10,3,3,30,4
10,3,5,50,4
10,3,6,0,4
10,1,5,40,4
1,3,3,120,4
1,3,6,0,4
1,3,5,160,4
1,3,4,140,4
1,3,1,80,4
1,3,2,100,4
5,3,4,90,4
1,2,6,0,4
1,1,3,140,4
1,2,5,160,4
1,1,4,170,4
1,1,5,200,4
1,1,6,0,4
1,2,1,80,4
1,2,2,100,4
1,2,3,120,4
1,2,4,140,4
5,2,4,90,4
5,2,5,90,4
5,2,6,0,4
5,3,1,50,4
5,3,2,60,4
1,1,1,0,4
7,3,6,0,4
6,2,6,0,4
7,3,2,40,4
8,2,5,60,4
8,2,6,0,4
8,1,2,15,4
8,2,4,60,4
8,2,3,40,4
8,1,1,0,4
8,1,3,20,4
8,1,4,30,4
8,2,1,20,4
8,2,2,30,4
8,1,5,40,4
8,3,1,20,4
6,2,5,80,4
6,3,1,40,4
8,3,6,0,4
6,2,4,80,4
6,3,2,50,4
6,3,4,80,4
6,3,3,60,4
6,2,2,50,4
6,2,3,60,4
6,2,1,40,4
6,1,6,0,4
6,1,5,60,4
6,3,6,0,4
6,3,5,80,4
6,1,4,60,4
6,1,1,0,4
6,1,2,30,4
6,1,3,60,4
10,2,6,0,4
7,3,3,50,4
8,3,5,60,4
8,3,3,40,4
7,1,3,30,4
7,1,4,40,4
7,1,5,50,4
7,1,6,0,4
7,2,2,40,4
7,2,4,70,4
7,2,3,50,4
7,2,5,70,4
7,2,6,0,4
7,3,1,30,4
4,2,4,100,4
4,2,3,80,4
4,1,2,60,4
4,3,2,70,4
8,3,4,60,4
4,3,4,100,4
4,3,6,0,4
4,3,3,80,4
4,2,6,0,4
4,2,5,100,4
4,2,2,70,4
4,1,1,0,4
4,3,1,60,4
4,1,3,80,4
4,1,4,100,4
4,1,5,100,4
4,1,6,0,4
4,2,1,60,4
8,1,6,0,4
8,3,2,30,4
4,3,5,100,4
10,2,5,50,4
7,2,1,30,4
10,2,2,20,4
3,3,6,0,4
3,2,4,120,4
3,2,6,0,4
3,3,1,70,4
3,2,5,120,4
3,2,3,90,4
3,1,3,100,4
3,3,4,120,4
3,1,1,0,4
3,1,4,120,4
3,3,5,120,4
3,1,5,144,4
3,1,6,0,4
3,2,1,70,4
3,2,2,80,4
11,2,3,20,4
3,1,2,80,4
3,3,3,90,4
3,3,2,80,4
2,3,1,80,4
10,2,3,30,4
2,1,6,0,4
2,1,2,100,4
2,1,5,170,4
2,1,3,120,4
2,1,4,140,4
2,2,5,140,4
2,2,2,90,4
2,2,1,80,4
2,3,6,0,4
2,3,5,140,4
2,2,3,100,4
2,2,4,130,4
2,2,6,0,4
2,3,2,90,4
2,3,3,100,4
2,3,4,130,4
11,2,6,0,4
11,2,1,10,4
2,1,1,0,4
11,1,5,25,4
12,1,5,0,4
12,1,6,0,4
12,2,2,0,4
12,3,4,0,4
12,2,3,0,4
12,2,5,0,4
12,2,6,0,4
12,1,4,0,4
12,3,1,0,4
12,3,3,0,4
10,2,1,15,4
10,1,2,15,4
10,2,4,40,4
10,1,4,30,4
10,1,3,20,4
11,2,2,15,4
12,3,2,0,4
12,1,3,0,4
10,1,1,0,4
12,1,1,0,4
11,1,4,20,4
12,1,2,0,4
11,1,6,0,4
11,3,2,15,4
11,3,3,20,4
11,3,4,25,4
11,3,5,30,4
11,3,6,0,4
11,3,1,10,4
10,1,6,0,4
11,2,4,25,4
11,2,5,30,4
12,3,5,0,4
12,3,6,0,4
12,2,4,0,4
12,2,1,0,4
11,1,3,15,4
11,1,2,10,4
11,1,1,0,4
1,3,4,140,5
1,3,1,80,5
9,1,2,15,5
1,2,6,0,5
1,3,5,160,5
1,3,2,100,5
1,3,6,0,5
9,1,3,20,5
1,1,2,120,5
9,2,2,20,5
9,2,1,15,5
9,3,3,30,5
9,1,5,40,5
9,1,4,30,5
1,1,3,140,5
1,3,3,120,5
1,2,5,160,5
12,3,3,0,5
1,1,5,200,5
12,3,2,0,5
9,2,3,30,5
12,3,1,0,5
12,1,4,0,5
12,2,5,0,5
12,2,3,0,5
12,3,4,0,5
1,1,4,170,5
12,2,2,0,5
12,1,5,0,5
1,1,1,0,5
1,2,4,140,5
1,2,3,120,5
1,2,2,100,5
1,2,1,80,5
1,1,6,0,5
12,1,6,0,5
9,1,1,0,5
7,1,5,50,5
9,1,6,0,5
7,3,4,70,5
7,1,1,0,5
7,1,2,20,5
7,3,5,70,5
4,3,5,100,5
4,2,1,60,5
4,1,6,0,5
4,1,5,100,5
4,1,4,100,5
4,1,3,80,5
4,3,1,60,5
4,1,1,0,5
4,2,2,70,5
4,2,5,100,5
12,1,3,0,5
7,3,6,0,5
7,3,2,40,5
7,3,3,50,5
7,1,3,30,5
9,2,4,40,5
9,3,1,15,5
9,2,5,50,5
9,3,4,40,5
9,3,5,50,5
9,3,6,0,5
9,3,2,20,5
9,2,6,0,5
7,2,1,30,5
7,2,6,0,5
7,2,5,70,5
7,2,3,50,5
7,2,4,70,5
7,2,2,40,5
7,1,6,0,5
7,1,4,40,5
7,3,1,30,5
12,1,1,0,5
2,2,4,130,5
12,3,5,0,5
2,3,3,100,5
2,3,2,90,5
2,2,6,0,5
4,2,6,0,5
2,2,3,100,5
2,3,5,140,5
2,3,6,0,5
2,2,1,80,5
2,2,2,90,5
